model,angle_set,curve,normalization,V_xx,V_xp,V_px,V_pp,det,eig_major,eig_minor,angle_deg
SN,A,V_init,omega_q,0.2,1.0,1.0,10.0,1.0,10.100999900019996,0.09900009998000499,84.23268967317765
SN,A,V_init,Omega_q_plot,0.25607375986579195,1.0,1.0,7.810249675906654,0.9999999999999999,7.940384957301006,0.12593847847144013,82.58546576623336
SN,A,V_recon_total,omega_q,1.0762605672313121,1.8478343961805073,1.8478343961805073,4.54418537451098,1.4762355730676398,5.344215388567815,0.2762305531744771,66.58953687776024
SN,A,V_recon_total,Omega_q_plot,1.3780104502310604,1.8478343961805075,1.8478343961805075,3.549122234853414,1.4762355730676402,4.606677060876523,0.32045562420795204,60.21657830296809
SN,A,V_recon_qm,omega_q,1.3040812922183407,0.0016133688768489307,0.0016133688768489307,11.809522960809895,15.400575360256004,11.809523208582348,1.304081044445886,89.99120082453929
SN,A,V_recon_qm,Omega_q_plot,1.6697049983449554,0.001613368876848931,0.001613368876848931,9.223532287727767,15.400575360256004,9.22353263231587,1.669704653756853,89.98776259791528
SN,B,V_recon_total,omega_q,1.0762605672315853,0.8522806467501344,0.8522806467501344,5.499117461111579,5.192100977144236,5.657667511280843,0.9177105170623207,79.46171238213817
SN,B,V_recon_total,Omega_q_plot,1.3780104502314101,0.8522806467501345,0.8522806467501344,4.294948036841934,5.192100977144237,4.525713839994528,1.1472446470788165,74.84970281598413
SN,B,V_recon_qm,omega_q,1.3040812922183411,0.0016133688768383836,0.0016133688768383836,11.809522960809902,15.400575360256012,11.809523208582355,1.3040810444458864,89.99120082453933
SN,B,V_recon_qm,Omega_q_plot,1.669704998344956,0.0016133688768383838,0.0016133688768383838,9.223532287727775,15.400575360256019,9.223532632315877,1.6697046537568534,89.98776259791535
QG,A,V_init,omega_q,0.2,1.0,1.0,10.0,1.0,10.100999900019996,0.09900009998000499,84.23268967317765
QG,A,V_init,Omega_q_plot,0.25607375986579195,1.0,1.0,7.810249675906654,0.9999999999999999,7.940384957301006,0.12593847847144013,82.58546576623336
QG,A,V_recon_total,omega_q,1.3040812922183407,0.0016133688768489307,0.0016133688768489307,11.809522960809895,15.400575360256004,11.809523208582348,1.304081044445886,89.99120082453929
QG,A,V_recon_total,Omega_q_plot,1.6697049983449554,0.001613368876848931,0.001613368876848931,9.223532287727767,15.400575360256004,9.22353263231587,1.669704653756853,89.98776259791528
QG,A,V_recon_qm,omega_q,1.3040812922183407,0.0016133688768489307,0.0016133688768489307,11.809522960809895,15.400575360256004,11.809523208582348,1.304081044445886,89.99120082453929
QG,A,V_recon_qm,Omega_q_plot,1.6697049983449554,0.001613368876848931,0.001613368876848931,9.223532287727767,15.400575360256004,9.22353263231587,1.669704653756853,89.98776259791528
QG,B,V_recon_total,omega_q,1.3040812922183411,0.0016133688768383836,0.0016133688768383836,11.809522960809902,15.400575360256012,11.809523208582355,1.3040810444458864,89.99120082453933
QG,B,V_recon_total,Omega_q_plot,1.669704998344956,0.0016133688768383838,0.0016133688768383838,9.223532287727775,15.400575360256019,9.223532632315877,1.6697046537568534,89.98776259791535
QG,B,V_recon_qm,omega_q,1.3040812922183411,0.0016133688768383836,0.0016133688768383836,11.809522960809902,15.400575360256012,11.809523208582355,1.3040810444458864,89.99120082453933
QG,B,V_recon_qm,Omega_q_plot,1.669704998344956,0.0016133688768383838,0.0016133688768383838,9.223532287727775,15.400575360256019,9.223532632315877,1.6697046537568534,89.98776259791535
