model,angle_set,angle_index,theta_rad,theta_over_pi,term_g2,term_j2,term_SN,qm_total,total
SN,A,0,0.0,0.0,0.3288314950637914,0.11527385630532667,-0.0916385449446807,0.44410535136911805,0.35246680642443734
SN,A,1,0.7853981633974483,0.25,0.06469937093042004,0.06569880771343378,-0.35714607762262984,0.13039817864385383,-0.226747898978776
SN,A,2,1.5707963267948966,0.5,0.11122031757718168,0.3327755094971587,-1.7826684935566135,0.4439958270743404,-1.3386726664822732
SN,B,0,1.0471975511965976,0.3333333333333333,0.03110638641921387,0.1412858662101524,-0.9527389767075252,0.17239225262936628,-0.7803467240781589
SN,B,1,2.0943951023931953,0.6666666666666666,0.30013983747845435,0.41551432618825185,-1.4156209070419568,0.7156541636667062,-0.6999667433752506
SN,B,2,3.141592653589793,1.0,0.3288314950637915,0.11527385630532669,-0.09163854494457105,0.4441053513691182,0.3524668064245472
QG,A,0,0.0,0.0,0.3288314950637914,0.11527385630532667,0.0,0.44410535136911805,0.44410535136911805
QG,A,1,0.7853981633974483,0.25,0.06469937093042004,0.06569880771343378,0.0,0.13039817864385383,0.13039817864385383
QG,A,2,1.5707963267948966,0.5,0.11122031757718168,0.3327755094971587,0.0,0.4439958270743404,0.4439958270743404
QG,B,0,1.0471975511965976,0.3333333333333333,0.03110638641921387,0.1412858662101524,0.0,0.17239225262936628,0.17239225262936628
QG,B,1,2.0943951023931953,0.6666666666666666,0.30013983747845435,0.41551432618825185,0.0,0.7156541636667062,0.7156541636667062
QG,B,2,3.141592653589793,1.0,0.3288314950637915,0.11527385630532669,0.0,0.4441053513691182,0.4441053513691182
